# One verdict per exception. Hand-written; the field list beside it,
# testdata/api-fields.json, is not — `gates api-diff` writes that.
#
# out		the property is published and this server deliberately does not model it
# extra		the field is modeled and public discovery does not publish it
# alias		the schema is modeled by the struct the reason names (property *)
# owner		which API a struct of a shared name models (property *)
# unrelated	a struct sharing this schema's name is about something else (property *)
# local		a struct in internal/gsheets that models no published schema at all (property *)
#
# local is the one verdict whose SECOND column names a Go struct rather
# than a schema, and whose API column is therefore `-`. It is what makes
# the set of compared types part of the rule: the gate walks the wire
# package as well as the snapshot, so a type renamed out of the way fails
# here instead of quietly dropping out of the comparison.
#
# The Sheets API is far larger than this server's surface, and that is a
# decision rather than an omission. What this record adds is that the
# decision is per field: a field Google adds to a type this server models
# fails the build until somebody says which heading below it joins.
#
# An out row says what is out, which is not the same as what the server
# cannot do. The first draft of this file got that wrong three times over
# — it wrote off Connected Sheets, developer metadata and dimension
# groups as features "no tool reaches", when manage_data_source,
# manage_anchor and edit_dimensions are built on all three. The check
# behind those claims was grep for the JSON property name in quotes, and
# this repo builds requests from typed Go structs, so the name never
# appears as a literal and the grep could only ever find map-based
# builders. Read the Go identifier, not the wire name.
#
# api	schema	property	verdict	reason
#
# Sheets calls a batchUpdate reply a Response and this server's struct is
# called Reply, which is also the name Drive gives a comment reply. Both
# halves have to be said, or the gate compares this server's batchUpdate
# replies against Drive's comment threads and reports every field of each
# as missing from the other.
sheets	Response	*	alias	Reply
drive	Reply	*	unrelated	this server has no comment tools; its Reply is the Sheets batchUpdate response above
#
# Data-source-backed cells and Looker.
sheets	AutoResizeDimensionsRequest	dataSourceSheetDimensions	out	manage_data_source connects and refreshes a BigQuery source and get_spreadsheet reports one; what is out is reading a data-source-backed cell, column reference or execution status back, and Looker, which no tool connects
sheets	CancelDataSourceRefreshRequest	references	out	manage_data_source connects and refreshes a BigQuery source and get_spreadsheet reports one; what is out is reading a data-source-backed cell, column reference or execution status back, and Looker, which no tool connects
sheets	CellData	dataSourceTable	out	manage_data_source connects and refreshes a BigQuery source and get_spreadsheet reports one; what is out is reading a data-source-backed cell, column reference or execution status back, and Looker, which no tool connects
sheets	ChartSpec	dataSourceChartProperties	out	manage_data_source connects and refreshes a BigQuery source and get_spreadsheet reports one; what is out is reading a data-source-backed cell, column reference or execution status back, and Looker, which no tool connects
sheets	DataSource	calculatedColumns	out	manage_data_source connects and refreshes a BigQuery source and get_spreadsheet reports one; what is out is reading a data-source-backed cell, column reference or execution status back, and Looker, which no tool connects
sheets	DataSourceSpec	looker	out	manage_data_source connects and refreshes a BigQuery source and get_spreadsheet reports one; what is out is reading a data-source-backed cell, column reference or execution status back, and Looker, which no tool connects
sheets	DataSourceSpec	parameters	out	manage_data_source connects and refreshes a BigQuery source and get_spreadsheet reports one; what is out is reading a data-source-backed cell, column reference or execution status back, and Looker, which no tool connects
sheets	DimensionProperties	dataSourceColumnReference	out	manage_data_source connects and refreshes a BigQuery source and get_spreadsheet reports one; what is out is reading a data-source-backed cell, column reference or execution status back, and Looker, which no tool connects
sheets	PivotGroup	dataSourceColumnReference	out	manage_data_source connects and refreshes a BigQuery source and get_spreadsheet reports one; what is out is reading a data-source-backed cell, column reference or execution status back, and Looker, which no tool connects
sheets	PivotTable	dataExecutionStatus	out	manage_data_source connects and refreshes a BigQuery source and get_spreadsheet reports one; what is out is reading a data-source-backed cell, column reference or execution status back, and Looker, which no tool connects
sheets	PivotTable	dataSourceId	out	manage_data_source connects and refreshes a BigQuery source and get_spreadsheet reports one; what is out is reading a data-source-backed cell, column reference or execution status back, and Looker, which no tool connects
sheets	PivotValue	dataSourceColumnReference	out	manage_data_source connects and refreshes a BigQuery source and get_spreadsheet reports one; what is out is reading a data-source-backed cell, column reference or execution status back, and Looker, which no tool connects
sheets	RefreshDataSourceObjectExecutionStatus	reference	out	manage_data_source connects and refreshes a BigQuery source and get_spreadsheet reports one; what is out is reading a data-source-backed cell, column reference or execution status back, and Looker, which no tool connects
sheets	RefreshDataSourceRequest	references	out	manage_data_source connects and refreshes a BigQuery source and get_spreadsheet reports one; what is out is reading a data-source-backed cell, column reference or execution status back, and Looker, which no tool connects
sheets	Request	updateDataSource	out	manage_data_source connects and refreshes a BigQuery source and get_spreadsheet reports one; what is out is reading a data-source-backed cell, column reference or execution status back, and Looker, which no tool connects
sheets	Response	cancelDataSourceRefresh	out	manage_data_source connects and refreshes a BigQuery source and get_spreadsheet reports one; what is out is reading a data-source-backed cell, column reference or execution status back, and Looker, which no tool connects
sheets	Response	updateDataSource	out	manage_data_source connects and refreshes a BigQuery source and get_spreadsheet reports one; what is out is reading a data-source-backed cell, column reference or execution status back, and Looker, which no tool connects
sheets	SheetProperties	dataSourceSheetProperties	out	manage_data_source connects and refreshes a BigQuery source and get_spreadsheet reports one; what is out is reading a data-source-backed cell, column reference or execution status back, and Looker, which no tool connects
sheets	SortSpec	dataSourceColumnReference	out	manage_data_source connects and refreshes a BigQuery source and get_spreadsheet reports one; what is out is reading a data-source-backed cell, column reference or execution status back, and Looker, which no tool connects
sheets	Spreadsheet	dataSourceSchedules	out	manage_data_source connects and refreshes a BigQuery source and get_spreadsheet reports one; what is out is reading a data-source-backed cell, column reference or execution status back, and Looker, which no tool connects
sheets	UpdateDimensionPropertiesRequest	dataSourceSheetRange	out	manage_data_source connects and refreshes a BigQuery source and get_spreadsheet reports one; what is out is reading a data-source-backed cell, column reference or execution status back, and Looker, which no tool connects
#
# Developer metadata belonging to another application.
sheets	DataFilter	a1Range	out	manage_anchor is built on developer metadata and searches it; what is out is metadata another application attached to a row, column or sheet, which no tool lists or reports
sheets	DataFilter	gridRange	out	manage_anchor is built on developer metadata and searches it; what is out is metadata another application attached to a row, column or sheet, which no tool lists or reports
sheets	DimensionProperties	developerMetadata	out	manage_anchor is built on developer metadata and searches it; what is out is metadata another application attached to a row, column or sheet, which no tool lists or reports
sheets	MatchedDeveloperMetadata	dataFilters	out	manage_anchor is built on developer metadata and searches it; what is out is metadata another application attached to a row, column or sheet, which no tool lists or reports
sheets	Sheet	developerMetadata	out	manage_anchor is built on developer metadata and searches it; what is out is metadata another application attached to a row, column or sheet, which no tool lists or reports
sheets	Spreadsheet	developerMetadata	out	manage_anchor is built on developer metadata and searches it; what is out is metadata another application attached to a row, column or sheet, which no tool lists or reports
#
# Reading a dimension group back.
sheets	GridProperties	columnGroupControlAfter	out	edit_dimensions groups and ungroups rows and columns; what is out is reporting the groups a sheet already has, and where Sheets draws their collapse control
sheets	GridProperties	rowGroupControlAfter	out	edit_dimensions groups and ungroups rows and columns; what is out is reporting the groups a sheet already has, and where Sheets draws their collapse control
sheets	Request	updateDimensionGroup	out	edit_dimensions groups and ungroups rows and columns; what is out is reporting the groups a sheet already has, and where Sheets draws their collapse control
sheets	Response	addDimensionGroup	out	edit_dimensions groups and ungroups rows and columns; what is out is reporting the groups a sheet already has, and where Sheets draws their collapse control
sheets	Response	deleteDimensionGroup	out	edit_dimensions groups and ungroups rows and columns; what is out is reporting the groups a sheet already has, and where Sheets draws their collapse control
